epoch,train_loss,valid_loss,time
0,3.744003,0.149266,21:18
1,0.132722,0.141055,21:21
2,0.128237,0.128008,21:21
3,0.130485,0.126099,21:23
4,0.124881,0.113722,21:22
5,0.118309,0.103991,21:21
6,0.104260,0.095893,21:26
7,0.096302,0.086702,21:24
8,0.095517,0.082478,21:25
9,0.094974,0.084434,21:24
10,0.093323,0.089054,21:23
11,0.091604,0.083779,21:21
12,0.092124,0.080165,21:22
13,0.091749,0.077114,21:22
14,0.092977,0.080859,21:23
15,0.089566,0.078270,21:19
16,0.089281,0.079695,21:23
17,0.089393,0.079109,21:22
18,0.084083,0.077411,21:21
19,0.090561,0.076952,21:20
